Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
measured_optical_power_vs_acquisition_duration.jpg;measured_optical_power_vs_power_instruction.jpg

Image metadata
profile name
8

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
1.0462323232323227;0.8860108589348251;2.711;-0.003;259.4070112090523;-0.22156573116691725

Result table values
power_instruction;488_power;488_error
1.0;29.0;2.9
10.0;257.0;25.7
20.0;515.0;51.5
30.0;773.0;77.3
40.0;1026.0;102.6
50.0;1280.0;128.0
60.0;1533.0;153.3
70.0;1806.0;180.6
80.0;2056.0;205.6
90.0;2363.0;236.3
100.0;2711.0;271.1
time;measured_optical_power_error;measured_optical_power_average
0.0;-3.0000000000000003E-4;-0.003
1.0;-3.0000000000000003E-4;-0.003
2.0;-3.0000000000000003E-4;-0.003
3.0;-0.0;-0.0
4.0;4.0E-4;0.004
5.0;4.0E-4;0.004
6.0;4.0E-4;0.004
7.0;4.0E-4;0.004
8.0;3.0000000000000003E-4;0.003
9.0;0.0023;0.023
10.0;0.0028000000000000004;0.028
11.0;0.0029000000000000002;0.029
12.0;0.0028000000000000004;0.028
13.0;0.0029000000000000002;0.029
14.0;0.0028000000000000004;0.028
15.0;0.014199999999999999;0.142
16.0;0.0257;0.257
17.0;0.025800000000000003;0.258
18.0;0.0257;0.257
19.0;0.0257;0.257
20.0;0.025800000000000003;0.258
21.0;0.0256;0.256
22.0;0.0208;0.208
23.0;0.0106;0.106
24.0;0.0106;0.106
25.0;0.0119;0.119
26.0;0.0131;0.131
27.0;0.0131;0.131
28.0;0.013200000000000002;0.132
29.0;0.0131;0.131
30.0;0.013200000000000002;0.132
31.0;0.0131;0.131
32.0;0.0131;0.131
33.0;0.0131;0.131
34.0;0.1736;1.736
35.0;0.2499;2.499
36.0;0.2352;2.352
37.0;0.23399999999999999;2.34
38.0;0.23450000000000004;2.345
39.0;0.11770000000000001;1.177
40.0;0.051500000000000004;0.515
41.0;0.051500000000000004;0.515
42.0;0.0517;0.517
43.0;0.0517;0.517
44.0;0.0519;0.519
45.0;0.05260000000000001;0.526
46.0;0.052500000000000005;0.525
47.0;0.06620000000000001;0.662
48.0;0.0771;0.771
49.0;0.07730000000000001;0.773
50.0;0.0767;0.767
51.0;0.07690000000000001;0.769
52.0;0.07690000000000001;0.769
53.0;0.07640000000000001;0.764
54.0;0.07690000000000001;0.769
55.0;0.0959;0.959
56.0;0.10300000000000001;1.03
57.0;0.10260000000000001;1.026
58.0;0.1027;1.027
59.0;0.1025;1.025
60.0;0.10189999999999999;1.019
61.0;0.1172;1.172
62.0;0.12860000000000002;1.286
63.0;0.128;1.28
64.0;0.1283;1.283
65.0;0.1283;1.283
66.0;0.12789999999999999;1.279
67.0;0.1333;1.333
68.0;0.1544;1.544
69.0;0.1545;1.545
70.0;0.1533;1.533
71.0;0.1537;1.537
72.0;0.15400000000000003;1.54
73.0;0.1535;1.535
74.0;0.16160000000000002;1.616
75.0;0.1815;1.815
76.0;0.17980000000000002;1.798
77.0;0.1806;1.806
78.0;0.18100000000000002;1.81
79.0;0.1809;1.809
80.0;0.1809;1.809
81.0;0.1937;1.937
82.0;0.2073;2.073
83.0;0.2056;2.056
84.0;0.2074;2.074
85.0;0.2077;2.077
86.0;0.2066;2.066
87.0;0.2073;2.073
88.0;0.207;2.07
89.0;0.219;2.19
90.0;0.23550000000000001;2.355
91.0;0.2363;2.363
92.0;0.2351;2.351
93.0;0.23530000000000004;2.353
94.0;0.2452;2.452
95.0;0.2691;2.691
96.0;0.27;2.7
97.0;0.2711;2.711
98.0;0.271;2.71
