Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
measured_optical_power_vs_acquisition_duration.jpg;measured_optical_power_vs_power_instruction.jpg

Image metadata
profile name
8

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
2.3126124999999997;1.6915539764439973;5.409;-0.0;233.89132420584946;0.0

Result table values
power_instruction;561_power;561_error
1.0;49.0;4.9
10.0;487.0;48.7
20.0;974.0;97.4
30.0;1462.0;146.2
40.0;1952.0;195.2
50.0;2451.0;245.1
60.0;2953.0;295.3
70.0;3466.0;346.6
80.0;4040.0;404.0
90.0;4578.0;457.8
100.0;5389.0;538.9
time;measured_optical_power_error;measured_optical_power_average
0.0;2.0E-4;0.002
1.0;3.0000000000000003E-4;0.003
2.0;3.0000000000000003E-4;0.003
3.0;-0.0;-0.0
4.0;0.0;0.0
5.0;-0.0;-0.0
6.0;0.0041;0.041
7.0;0.004900000000000001;0.049
8.0;0.005000000000000001;0.05
9.0;0.004900000000000001;0.049
10.0;0.004900000000000001;0.049
11.0;0.0108;0.108
12.0;0.0485;0.485
13.0;0.0487;0.487
14.0;0.0488;0.488
15.0;0.0489;0.489
16.0;0.0488;0.488
17.0;0.0483;0.483
18.0;0.06899999999999999;0.69
19.0;0.0979;0.979
20.0;0.0974;0.974
21.0;0.09820000000000001;0.982
22.0;0.0979;0.979
23.0;0.0973;0.973
24.0;0.09770000000000001;0.977
25.0;0.1069;1.069
26.0;0.146;1.46
27.0;0.14570000000000002;1.457
28.0;0.1462;1.462
29.0;0.1459;1.459
30.0;0.1449;1.449
31.0;0.1461;1.461
32.0;0.1613;1.613
33.0;0.19490000000000002;1.949
34.0;0.19590000000000002;1.959
35.0;0.1952;1.952
36.0;0.1942;1.942
37.0;0.1958;1.958
38.0;0.1962;1.962
39.0;0.1962;1.962
40.0;0.24500000000000002;2.45
41.0;0.2457;2.457
42.0;0.2451;2.451
43.0;0.2436;2.436
44.0;0.2457;2.457
45.0;0.24550000000000002;2.455
46.0;0.2643;2.643
47.0;0.2949;2.949
48.0;0.29550000000000004;2.955
49.0;0.2953;2.953
50.0;0.29760000000000003;2.976
51.0;0.2973;2.973
52.0;0.2969;2.969
53.0;0.319;3.19
54.0;0.34830000000000005;3.483
55.0;0.34850000000000003;3.485
56.0;0.3466;3.466
57.0;0.3491;3.491
58.0;0.3491;3.491
59.0;0.34700000000000003;3.47
60.0;0.38830000000000003;3.883
61.0;0.4039;4.039
62.0;0.4026;4.026
63.0;0.4045;4.045
64.0;0.404;4.04
65.0;0.40080000000000005;4.008
66.0;0.40199999999999997;4.02
67.0;0.40290000000000004;4.029
68.0;0.4044;4.044
69.0;0.45410000000000006;4.541
70.0;0.46130000000000004;4.613
71.0;0.46070000000000005;4.607
72.0;0.45780000000000004;4.578
73.0;0.46180000000000004;4.618
74.0;0.4803;4.803
75.0;0.5409;5.409
76.0;0.5404;5.404
77.0;0.5377;5.377
78.0;0.5389;5.389
79.0;0.5394;5.394
