Analysis name
powerMeter

Image files
measuredOpticalPowerVsAcquisitionDuration;measuredOpticalPowerVsPowerInstruction
measuredOpticalPowerVsAcquisitionDuration.jpg;measuredOpticalPowerVsPowerInstruction.jpg

File information
false
false

Primary metrics values
powerAverage;powerStandardDeviation;powerMaximum;powerMinimum;powerDeviation;powerStability
1.1556;1.0020;3.2040;0.0000;277.2512;0.0000

Secondary metrics values
No values
1

Algorithm metadata values
No values
1

Image metadata values
No values
1

Transformation parameters values
No values
1

Measurement Uncertainties values
No values
1

Result table values
power_instruction;488_power;488_error
1.0;30.0;3.0
5.0;152.0;15.0
10.0;304.0;30.0
20.0;614.0;61.0
30.0;916.0;92.0
40.0;1211.0;121.0
50.0;1525.0;153.0
60.0;1830.0;183.0
70.0;2147.0;215.0
80.0;2467.0;247.0
90.0;2806.0;281.0
100.0;3176.0;318.0
time;measuredOpticalPowerAverage;measuredOpticalPowerError
0.0000;0.9220;0.0920
1.0000;0.0030;0.0000
2.0000;0.0030;0.0000
3.0000;0.0020;0.0000
4.0000;0.0020;0.0000
5.0000;0.0010;0.0000
6.0000;0.0000;0.0000
7.0000;0.0000;0.0000
8.0000;0.0000;0.0000
9.0000;0.0000;0.0000
10.0000;0.0000;0.0000
11.0000;0.0010;0.0000
12.0000;0.0000;0.0000
13.0000;0.0260;0.0030
14.0000;0.0300;0.0030
15.0000;0.0300;0.0030
16.0000;0.0290;0.0030
17.0000;0.0290;0.0030
18.0000;0.0290;0.0030
19.0000;0.0350;0.0030
20.0000;0.1520;0.0150
21.0000;0.1510;0.0150
22.0000;0.1520;0.0150
23.0000;0.1520;0.0150
24.0000;0.1520;0.0150
25.0000;0.1510;0.0150
26.0000;0.2140;0.0210
27.0000;0.3040;0.0300
28.0000;0.3000;0.0300
29.0000;0.3040;0.0300
30.0000;0.3050;0.0300
31.0000;0.3010;0.0300
32.0000;0.3030;0.0300
33.0000;0.3950;0.0390
34.0000;0.6130;0.0610
35.0000;0.6080;0.0610
36.0000;0.6140;0.0610
37.0000;0.6140;0.0610
38.0000;0.6080;0.0610
39.0000;0.6140;0.0610
40.0000;0.6140;0.0610
41.0000;0.7680;0.0770
42.0000;0.9150;0.0910
43.0000;0.9180;0.0920
44.0000;0.9160;0.0920
45.0000;0.9080;0.0910
46.0000;0.9160;0.0920
47.0000;0.9160;0.0920
48.0000;0.9360;0.0940
49.0000;1.2220;0.1220
50.0000;1.2220;0.1220
51.0000;1.2110;0.1210
52.0000;1.2170;0.1220
53.0000;1.2200;0.1220
54.0000;1.2190;0.1220
55.0000;1.2050;0.1210
56.0000;1.2190;0.1220
57.0000;1.3990;0.1400
58.0000;1.5070;0.1510
59.0000;1.5230;0.1520
60.0000;1.5250;0.1530
61.0000;1.5150;0.1510
62.0000;1.5160;0.1520
63.0000;1.5250;0.1520
64.0000;1.6890;0.1690
65.0000;1.8100;0.1810
66.0000;1.8300;0.1830
67.0000;1.8300;0.1830
68.0000;1.8110;0.1810
69.0000;1.8270;0.1830
70.0000;1.8300;0.1830
71.0000;2.0120;0.2010
72.0000;2.1330;0.2130
73.0000;2.1470;0.2150
74.0000;2.1470;0.2150
75.0000;2.1250;0.2120
76.0000;2.1450;0.2140
77.0000;2.1470;0.2150
78.0000;2.2820;0.2280
79.0000;2.4600;0.2460
80.0000;2.4670;0.2470
81.0000;2.4590;0.2460
82.0000;2.4510;0.2450
83.0000;2.4710;0.2470
84.0000;2.4700;0.2470
85.0000;2.7410;0.2740
86.0000;2.8070;0.2810
87.0000;2.8060;0.2810
88.0000;2.7840;0.2780
89.0000;2.8030;0.2800
90.0000;3.1840;0.3180
91.0000;3.1980;0.3200
92.0000;3.1760;0.3180
93.0000;3.2040;0.3200
