Analysis name
powerMeter

Image files
measuredOpticalPowerVsAcquisitionDuration;measuredOpticalPowerVsPowerInstruction
measuredOpticalPowerVsAcquisitionDuration.jpg;measuredOpticalPowerVsPowerInstruction.jpg

File information
false
false

Primary metrics values
powerAverage;powerStandardDeviation;powerMaximum;powerMinimum;powerDeviation;powerStability
1.9788;1.5632;4.9410;-0.0000;249.7007;0.0000

Secondary metrics values
No values
1

Algorithm metadata values
No values
1

Image metadata values
No values
1

Transformation parameters values
No values
1

Measurement Uncertainties values
No values
1

Result table values
power_instruction;633_power;633_error
1.0;52.0;5.0
5.0;260.0;26.0
10.0;513.0;51.0
20.0;1028.0;103.0
30.0;1531.0;153.0
40.0;2037.0;204.0
50.0;2531.0;253.0
60.0;2997.0;300.0
70.0;3520.0;352.0
80.0;3986.0;399.0
90.0;4438.0;444.0
100.0;4921.0;492.0
time;measuredOpticalPowerAverage;measuredOpticalPowerError
0.0000;2.4550;0.2450
1.0000;0.0020;0.0000
2.0000;0.0020;0.0000
3.0000;-0.0000;-0.0000
4.0000;-0.0000;-0.0000
5.0000;-0.0000;-0.0000
6.0000;-0.0000;-0.0000
7.0000;-0.0000;-0.0000
8.0000;-0.0000;-0.0000
9.0000;0.0450;0.0040
10.0000;0.0520;0.0050
11.0000;0.0510;0.0050
12.0000;0.0520;0.0050
13.0000;0.0520;0.0050
14.0000;0.2420;0.0240
15.0000;0.2610;0.0260
16.0000;0.2600;0.0260
17.0000;0.2590;0.0260
18.0000;0.2590;0.0260
19.0000;0.2600;0.0260
20.0000;0.4450;0.0450
21.0000;0.5080;0.0510
22.0000;0.5130;0.0510
23.0000;0.5130;0.0510
24.0000;0.5070;0.0510
25.0000;0.5130;0.0510
26.0000;0.5130;0.0510
27.0000;0.7620;0.0760
28.0000;1.0190;0.1020
29.0000;1.0280;0.1030
30.0000;1.0260;0.1030
31.0000;1.0170;0.1020
32.0000;1.0290;0.1030
33.0000;1.0290;0.1030
34.0000;1.0190;0.1020
35.0000;1.1490;0.1150
36.0000;1.5280;0.1530
37.0000;1.5200;0.1520
38.0000;1.5280;0.1530
39.0000;1.5320;0.1530
40.0000;1.5310;0.1530
41.0000;1.5200;0.1520
42.0000;1.5330;0.1530
43.0000;1.5320;0.1530
44.0000;1.5320;0.1530
45.0000;2.0330;0.2030
46.0000;2.0420;0.2040
47.0000;2.0370;0.2040
48.0000;2.0250;0.2030
49.0000;2.0440;0.2040
50.0000;2.0430;0.2040
51.0000;2.0230;0.2020
52.0000;2.4000;0.2400
53.0000;2.5450;0.2550
54.0000;2.5220;0.2520
55.0000;2.5310;0.2530
56.0000;2.5400;0.2540
57.0000;2.5410;0.2540
58.0000;2.5180;0.2520
59.0000;2.6830;0.2680
60.0000;3.0300;0.3030
61.0000;2.9970;0.3000
62.0000;3.0300;0.3030
63.0000;3.0320;0.3030
64.0000;3.0060;0.3010
65.0000;3.0190;0.3020
66.0000;3.4250;0.3420
67.0000;3.5210;0.3520
68.0000;3.4860;0.3490
69.0000;3.5200;0.3520
70.0000;3.5240;0.3520
71.0000;3.4880;0.3490
72.0000;3.5190;0.3520
73.0000;3.8960;0.3900
74.0000;3.9700;0.3970
75.0000;3.9860;0.3990
76.0000;3.9960;0.4000
77.0000;3.9960;0.4000
78.0000;3.9500;0.3950
79.0000;4.3310;0.4330
80.0000;4.4800;0.4480
81.0000;4.4380;0.4440
82.0000;4.4780;0.4480
83.0000;4.4950;0.4500
84.0000;4.8790;0.4880
85.0000;4.9210;0.4920
86.0000;4.9410;0.4940
87.0000;4.9310;0.4930
