Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
measured_optical_power_vs_acquisition_duration.jpg;measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
1.5083711340206183;1.2695566652261017;3.736;-0.001;247.75069714035763;-0.05354752342703328

Result table values
power_instruction;405_power;405_error
1.0;46.0;4.6
5.0;210.0;21.0
10.0;413.0;41.3
20.0;821.0;82.1
30.0;1220.0;122.0
40.0;1618.0;161.8
50.0;2029.0;202.9
60.0;2424.0;242.4
70.0;2793.0;279.3
80.0;3163.0;316.3
90.0;3517.0;351.7
100.0;3707.0;370.7
time;measured_optical_power_error;measured_optical_power_average
0.0;7.000000000000001E-4;0.007
1.0;8.0E-4;0.008
2.0;8.0E-4;0.008
3.0;8.0E-4;0.008
4.0;8.0E-4;0.008
5.0;8.0E-4;0.008
6.0;8.0E-4;0.008
7.0;-0.0;-0.0
8.0;-1.0E-4;-0.001
9.0;0.0;0.0
10.0;-0.0;-0.0
11.0;2.0E-4;0.002
12.0;0.0046;0.046
13.0;0.0045;0.045
14.0;0.0046;0.046
15.0;0.0046;0.046
16.0;0.0045;0.045
17.0;0.0045;0.045
18.0;0.0046;0.046
19.0;0.016;0.16
20.0;0.021;0.21
21.0;0.021;0.21
22.0;0.0211;0.211
23.0;0.0208;0.208
24.0;0.020900000000000002;0.209
25.0;0.017;0.17
26.0;0.0222;0.222
27.0;0.0415;0.415
28.0;0.0415;0.415
29.0;0.0413;0.413
30.0;0.041;0.41
31.0;0.0415;0.415
32.0;0.0414;0.414
33.0;0.057499999999999996;0.575
34.0;0.0823;0.823
35.0;0.082;0.82
36.0;0.08100000000000002;0.81
37.0;0.0821;0.821
38.0;0.0819;0.819
39.0;0.0814;0.814
40.0;0.0821;0.821
41.0;0.0824;0.824
42.0;0.1085;1.085
43.0;0.12150000000000001;1.215
44.0;0.12240000000000001;1.224
45.0;0.122;1.22
46.0;0.12140000000000001;1.214
47.0;0.1228;1.228
48.0;0.12240000000000001;1.224
49.0;0.1277;1.277
50.0;0.1625;1.625
51.0;0.1623;1.623
52.0;0.16180000000000003;1.618
53.0;0.16310000000000002;1.631
54.0;0.163;1.63
55.0;0.1622;1.622
56.0;0.16110000000000002;1.611
57.0;0.2005;2.005
58.0;0.2021;2.021
59.0;0.20099999999999998;2.01
60.0;0.2029;2.029
61.0;0.20230000000000004;2.023
62.0;0.19970000000000002;1.997
63.0;0.2022;2.022
64.0;0.22519999999999998;2.252
65.0;0.23950000000000002;2.395
66.0;0.24230000000000002;2.423
67.0;0.2424;2.424
68.0;0.24100000000000002;2.41
69.0;0.2392;2.392
70.0;0.2419;2.419
71.0;0.2545;2.545
72.0;0.2782;2.782
73.0;0.28130000000000005;2.813
74.0;0.27930000000000005;2.793
75.0;0.2762;2.762
76.0;0.2805;2.805
77.0;0.27999999999999997;2.8
78.0;0.2783;2.783
79.0;0.2806;2.806
80.0;0.30590000000000006;3.059
81.0;0.31520000000000004;3.152
82.0;0.3163;3.163
83.0;0.3183;3.183
84.0;0.31720000000000004;3.172
85.0;0.3146;3.146
86.0;0.3174;3.174
87.0;0.3377;3.377
88.0;0.3471;3.471
89.0;0.3517;3.517
90.0;0.3512;3.512
91.0;0.34950000000000003;3.495
92.0;0.3673;3.673
93.0;0.37200000000000005;3.72
94.0;0.3713;3.713
95.0;0.37070000000000003;3.707
96.0;0.37360000000000004;3.736
