Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
measured_optical_power_vs_acquisition_duration.jpg;measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.9366153846153846;0.7863476404193231;2.468;0.0;263.50197109067017;0.0

Result table values
power_instruction;488_power;488_error
1.0;24.0;2.4
5.0;123.0;12.3
10.0;244.0;24.4
20.0;490.0;49.0
30.0;727.0;72.7
40.0;961.0;96.1
50.0;1199.0;119.9
60.0;1423.0;142.3
70.0;1668.0;166.8
80.0;1907.0;190.7
90.0;2169.0;216.9
100.0;2444.0;244.4
time;measured_optical_power_error;measured_optical_power_average
0.0;2.0E-4;0.002
1.0;2.0E-4;0.002
2.0;2.0E-4;0.002
3.0;5.0E-4;0.005
4.0;5.0E-4;0.005
5.0;5.0E-4;0.005
6.0;5.0E-4;0.005
7.0;5.0E-4;0.005
8.0;0.0;0.0
9.0;0.0;0.0
10.0;-0.0;-0.0
11.0;-0.0;-0.0
12.0;0.0017000000000000001;0.017
13.0;0.0023;0.023
14.0;0.0024000000000000002;0.024
15.0;0.0024000000000000002;0.024
16.0;0.0024000000000000002;0.024
17.0;0.0023;0.023
18.0;0.0024000000000000002;0.024
19.0;0.0037;0.037
20.0;0.0122;0.122
21.0;0.0123;0.123
22.0;0.0123;0.123
23.0;0.0123;0.123
24.0;0.0123;0.123
25.0;0.0122;0.122
26.0;0.0121;0.121
27.0;0.017;0.17
28.0;0.0244;0.244
29.0;0.024300000000000002;0.243
30.0;0.0244;0.244
31.0;0.0244;0.244
32.0;0.0242;0.242
33.0;0.0244;0.244
34.0;0.0244;0.244
35.0;0.0482;0.482
36.0;0.0489;0.489
37.0;0.0492;0.492
38.0;0.049;0.49
39.0;0.0485;0.485
40.0;0.0489;0.489
41.0;0.0489;0.489
42.0;0.0529;0.529
43.0;0.0731;0.731
44.0;0.073;0.73
45.0;0.0723;0.723
46.0;0.0727;0.727
47.0;0.0727;0.727
48.0;0.0724;0.724
49.0;0.0727;0.727
50.0;0.0728;0.728
51.0;0.0727;0.727
52.0;0.0958;0.958
53.0;0.0966;0.966
54.0;0.0966;0.966
55.0;0.0961;0.961
56.0;0.0969;0.969
57.0;0.09670000000000001;0.967
58.0;0.09570000000000001;0.957
59.0;0.1065;1.065
60.0;0.12;1.2
61.0;0.1199;1.199
62.0;0.1198;1.198
63.0;0.1199;1.199
64.0;0.1198;1.198
65.0;0.11850000000000001;1.185
66.0;0.11930000000000002;1.193
67.0;0.11950000000000001;1.195
68.0;0.13260000000000002;1.326
69.0;0.1431;1.431
70.0;0.1431;1.431
71.0;0.1414;1.414
72.0;0.1423;1.423
73.0;0.1428;1.428
74.0;0.1423;1.423
75.0;0.14270000000000002;1.427
76.0;0.1482;1.482
77.0;0.1663;1.663
78.0;0.1655;1.655
79.0;0.16670000000000001;1.667
80.0;0.1668;1.668
81.0;0.1658;1.658
82.0;0.1665;1.665
83.0;0.1664;1.664
84.0;0.16570000000000001;1.657
85.0;0.1713;1.713
86.0;0.19130000000000003;1.913
87.0;0.1915;1.915
88.0;0.19010000000000002;1.901
89.0;0.1907;1.907
90.0;0.1912;1.912
91.0;0.1904;1.904
92.0;0.19210000000000002;1.921
93.0;0.211;2.11
94.0;0.21530000000000002;2.153
95.0;0.2169;2.169
96.0;0.2178;2.178
97.0;0.217;2.17
98.0;0.23610000000000003;2.361
99.0;0.2452;2.452
100.0;0.2451;2.451
101.0;0.2444;2.444
102.0;0.246;2.46
103.0;0.24680000000000002;2.468
