Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
measured_optical_power_vs_acquisition_duration.jpg;measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.25118750000000006;0.20588499051031914;0.632;-0.0;251.60487683503354;0.0

Result table values
power_instruction;594_power;594_error
1.0;5.0;0.5
5.0;28.0;2.8
10.0;56.0;5.6
20.0;113.0;11.3
30.0;170.0;17.0
40.0;230.0;23.0
50.0;288.0;28.8
60.0;347.0;34.7
70.0;410.0;41.0
80.0;473.0;47.3
90.0;543.0;54.3
100.0;628.0;62.8
time;measured_optical_power_error;measured_optical_power_average
0.0;-0.0;-0.0
1.0;-0.0;-0.0
2.0;-0.0;-0.0
3.0;-0.0;-0.0
4.0;-0.0;-0.0
5.0;-0.0;-0.0
6.0;1.0E-4;0.001
7.0;5.0E-4;0.005
8.0;5.0E-4;0.005
9.0;5.0E-4;0.005
10.0;6.000000000000001E-4;0.006
11.0;5.0E-4;0.005
12.0;5.0E-4;0.005
13.0;9.0E-4;0.009
14.0;0.0028000000000000004;0.028
15.0;0.0028000000000000004;0.028
16.0;0.0028000000000000004;0.028
17.0;0.0028000000000000004;0.028
18.0;0.0028000000000000004;0.028
19.0;0.0028000000000000004;0.028
20.0;0.0029000000000000002;0.029
21.0;0.0029000000000000002;0.029
22.0;0.0053;0.053
23.0;0.005600000000000001;0.056
24.0;0.005600000000000001;0.056
25.0;0.005600000000000001;0.056
26.0;0.0057;0.057
27.0;0.0057;0.057
28.0;0.0057;0.057
29.0;0.0073;0.073
30.0;0.0114;0.114
31.0;0.0114;0.114
32.0;0.011300000000000001;0.113
33.0;0.0114;0.114
34.0;0.011500000000000002;0.115
35.0;0.0114;0.114
36.0;0.0114;0.114
37.0;0.016;0.16
38.0;0.016900000000000002;0.169
39.0;0.0171;0.171
40.0;0.017;0.17
41.0;0.017;0.17
42.0;0.0171;0.171
43.0;0.0171;0.171
44.0;0.0181;0.181
45.0;0.0228;0.228
46.0;0.023000000000000003;0.23
47.0;0.023000000000000003;0.23
48.0;0.0227;0.227
49.0;0.0228;0.228
50.0;0.022900000000000004;0.229
51.0;0.0228;0.228
52.0;0.027400000000000004;0.274
53.0;0.028999999999999998;0.29
54.0;0.0288;0.288
55.0;0.0288;0.288
56.0;0.0288;0.288
57.0;0.028399999999999998;0.284
58.0;0.0287;0.287
59.0;0.032900000000000006;0.329
60.0;0.0349;0.349
61.0;0.0347;0.347
62.0;0.0349;0.349
63.0;0.0348;0.348
64.0;0.034499999999999996;0.345
65.0;0.0347;0.347
66.0;0.0393;0.393
67.0;0.0409;0.409
68.0;0.041;0.41
69.0;0.041;0.41
70.0;0.0412;0.412
71.0;0.041;0.41
72.0;0.0411;0.411
73.0;0.0431;0.431
74.0;0.04680000000000001;0.468
75.0;0.0472;0.472
76.0;0.0473;0.473
77.0;0.0471;0.471
78.0;0.0476;0.476
79.0;0.0478;0.478
80.0;0.0475;0.475
81.0;0.0477;0.477
82.0;0.0539;0.539
83.0;0.053700000000000005;0.537
84.0;0.053700000000000005;0.537
85.0;0.05450000000000001;0.545
86.0;0.05460000000000001;0.546
87.0;0.05430000000000001;0.543
88.0;0.05450000000000001;0.545
89.0;0.056999999999999995;0.57
90.0;0.062400000000000004;0.624
91.0;0.06280000000000001;0.628
92.0;0.06280000000000001;0.628
93.0;0.06280000000000001;0.628
94.0;0.063;0.63
95.0;0.0632;0.632
